;PLAYER;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;+/-
52;Jamal Murray;DEN;21;81;46;35;31.7;16.7;5.9;13.1;45.1;2.0;5.4;37.8;2.8;3.1;90.5;1.0;2.7;3.7;3.4;2.1;1.0;0.3;2.1;28.0;1;0;2.8
53;Dwight Howard;CHA;32;81;35;46;30.4;16.6;6.2;11.2;55.5;0.0;0.1;14.3;4.1;7.2;57.4;3.1;9.3;12.5;1.3;2.6;0.6;1.6;3.1;37.6;53;0;1.1
54;Nikola Vucevic;ORL;27;57;17;40;29.5;16.5;7.0;14.7;47.5;1.1;3.6;31.4;1.4;1.6;81.9;1.8;7.4;9.2;3.4;1.9;1.0;1.1;2.5;36.8;29;1;-0.6
55;Kyle Lowry;TOR;32;78;57;21;32.2;16.2;5.2;12.1;42.7;3.1;7.6;39.9;2.9;3.3;85.4;0.8;4.7;5.6;6.9;2.3;1.1;0.2;2.5;34.9;23;3;5.1
56;Kawhi Leonard;SAS;27;9;5;4;23.3;16.2;5.8;12.3;46.8;1.2;3.9;31.4;3.4;4.2;81.6;0.7;4.0;4.7;2.3;1.8;2.0;1.0;1.0;32.5;0;0;1.9
57;Carmelo Anthony;OKC;34;78;46;32;32.1;16.2;6.1;15.0;40.4;2.2;6.1;35.7;1.9;2.5;76.7;0.9;4.9;5.8;1.3;1.3;0.6;0.6;2.5;27.5;6;0;3.5
58;Julius Randle;LAL;23;82;35;47;26.7;16.1;6.1;11.0;55.8;0.1;0.5;22.2;3.7;5.2;71.8;2.2;5.8;8.0;2.6;2.6;0.5;0.5;3.3;30.2;28;1;-1.0
59;Kyle Kuzma;LAL;22;77;34;43;31.2;16.1;6.1;13.5;45.0;2.1;5.6;36.6;1.9;2.7;70.7;1.1;5.1;6.3;1.8;1.8;0.6;0.4;2.1;27.8;17;0;-1.6
60;Brandon Ingram;LAL;20;59;27;32;33.5;16.1;6.1;12.9;47.0;0.7;1.8;39.0;3.3;4.8;68.1;1.0;4.4;5.3;3.9;2.5;0.8;0.7;2.8;30.3;6;0;-2.2
61;Ben Simmons;PHI;21;81;51;30;33.7;15.8;6.7;12.3;54.5;0.0;0.1;0.0;2.4;4.2;56.0;1.8;6.3;8.1;8.2;3.4;1.7;0.9;2.6;42.1;38;12;4.8
62;Will Barton;DEN;27;81;46;35;33.1;15.7;5.7;12.7;45.2;1.9;5.2;37.0;2.2;2.8;80.5;0.9;4.2;5.0;4.1;1.8;1.0;0.6;2.1;31.0;2;0;1.5
