PLAYER;GP;MIN;PTS;FG%;3PM;3P%;FT%;REB;AST;TOV;STL;BLK;DD2;TD3;POSITION
Jamil Wilson;15;18.3;7.0;46.9;1.8;42.9;50.0;2.1;0.7;0.5;0.3;0.5;0;0;F
Bam Adebayo;69;19.8;6.9;51.2;0.0;0.0;72.1;5.5;1.5;1.0;0.5;0.6;7;0;F
David West;73;13.7;6.8;57.1;0.0;37.5;75.9;3.3;1.9;1.1;0.6;1.0;0;0;F
Nemanja Bjelica;67;20.5;6.8;46.1;1.1;41.5;80.0;4.1;1.3;0.8;0.7;0.2;1;0;F
Joe Johnson;55;21.9;6.8;40.6;0.7;27.6;88.9;3.1;1.5;0.9;0.3;0.1;0;0;F
Luke Kornet;20;16.3;6.7;39.2;1.4;35.4;72.7;3.2;1.3;0.6;0.3;0.8;1;0;F
Justin Jackson;68;22.2;6.7;44.2;0.8;30.8;72.2;2.8;1.1;0.6;0.4;0.2;0;0;F
Danuel House;23;17.5;6.6;43.4;0.7;25.9;80.6;3.3;1.1;0.5;0.3;0.3;0;0;F
Nene;52;14.6;6.5;56.9;0.0;0.0;63.6;3.4;0.9;0.7;0.5;0.3;0;0;F
Maurice Harkless;59;21.4;6.5;49.5;0.8;41.5;71.2;2.7;0.9;0.7;0.8;0.7;0;0;F
Richaun Holmes;48;15.5;6.5;56.0;0.1;12.9;66.1;4.4;1.3;0.5;0.4;0.6;1;0;F
Dragan Bender;82;25.2;6.5;38.6;1.4;36.6;76.5;4.4;1.6;1.4;0.3;0.6;3;0;F
Troy Williams;21;14.6;6.3;46.8;0.5;28.9;66.7;3.0;0.8;0.9;1.0;0.2;0;0;F
Trevor Booker;68;17.0;6.3;51.6;0.1;24.2;71.0;4.7;1.2;0.9;0.4;0.3;4;0;F
Justin Anderson;38;13.7;6.2;43.1;0.9;33.0;73.7;2.4;0.7;0.4;0.4;0.2;0;0;F
PJ Tucker;82;27.8;6.1;39.0;1.4;37.1;71.7;5.6;0.9;0.9;1.0;0.3;3;0;F
Andre Iguodala;64;25.4;6.0;46.3;0.5;28.2;63.2;3.8;3.3;1.0;0.8;0.6;0;0;F
Davis Bertans;77;14.1;5.9;44.0;1.2;37.3;81.6;2.0;1.0;0.5;0.3;0.4;0;0;F
OG Anunoby;74;20.0;5.9;47.1;1.0;37.1;62.9;2.5;0.7;0.6;0.7;0.2;0;0;F
Kenneth Faried;32;14.4;5.9;51.4;0.0;0.0;70.6;4.8;0.6;0.7;0.4;0.4;3;0;F
Quincy Acy;70;19.4;5.9;35.6;1.5;34.9;81.7;3.7;0.8;0.9;0.5;0.4;0;0;F
Dorian Finney-Smith;21;21.3;5.9;38.0;1.0;29.9;73.3;3.6;1.2;1.0;0.5;0.2;1;0;F
Deyonta Davis;62;15.2;5.8;60.8;0.0;0.0;66.7;4.0;0.6;0.5;0.2;0.6;1;0;F
Jonas Jerebko;74;15.3;5.8;46.6;0.9;41.4;80.7;3.3;0.6;0.4;0.3;0.2;0;0;F
Tristan Thompson;53;20.2;5.8;56.2;0.0;0.0;54.4;6.6;0.6;0.7;0.3;0.3;3;0;F
Timothe Luwawu-Cabarrot;52;15.5;5.8;37.5;1.0;33.5;79.3;1.4;1.0;0.7;0.2;0.1;0;0;F
Jack Cooley;7;12.5;5.7;48.1;0.0;0.0;73.7;4.3;0.9;0.4;0.1;0.0;0;0;F
Dante Cunningham;73;21.4;5.7;45.1;0.8;34.5;59.6;4.1;0.7;0.5;0.5;0.4;1;0;F
Jameel Warney;3;9.0;5.7;58.3;0.0;0.0;60.0;3.0;0.0;0.3;0.0;0.0;0;0;F
Omri Casspi;53;14.0;5.7;58.0;0.2;45.5;72.5;3.8;1.0;0.7;0.3;0.4;3;0;F
Cristiano Felicio;55;17.8;5.6;59.1;0.0;0.0;66.7;4.2;1.0;1.0;0.3;0.2;3;0;F
Ivan Rabb;36;14.3;5.6;56.6;0.0;0.0;80.6;4.4;0.9;1.0;0.3;0.4;3;0;F
C.J. Williams;38;18.6;5.5;44.2;0.6;28.2;81.3;1.5;1.1;0.5;0.8;0.3;0;0;F
Norman Powell;70;15.2;5.5;40.1;0.8;28.5;82.1;1.7;1.3;0.9;0.5;0.2;0;0;F
Omari Johnson;4;18.8;5.5;42.9;1.0;33.3;0.0;2.8;1.8;0.8;0.5;0.0;0;0;F
Wesley Johnson;74;20.1;5.4;40.8;0.8;33.9;74.1;2.9;0.8;0.7;1.0;0.8;1;0;F
Vince Carter;58;17.7;5.4;40.3;1.0;34.5;75.7;2.6;1.2;0.6;0.7;0.4;0;0;F
Pat Connaughton;82;18.1;5.4;42.3;0.9;35.2;84.1;2.0;1.1;0.5;0.3;0.3;0;0;F
Jon Leuer;8;17.1;5.4;41.7;0.0;0.0;86.7;4.0;0.6;0.9;0.1;0.4;0;0;F
Jonathan Isaac;27;19.8;5.4;37.9;0.6;34.8;76.0;3.7;0.7;1.0;1.2;1.1;0;0;F
Maxi Kleber;72;16.8;5.4;48.9;0.6;31.3;74.6;3.3;0.7;0.4;0.4;0.7;1;0;F
Myke Henry;20;18.9;5.4;37.6;1.0;32.8;60.0;1.9;1.1;1.0;1.6;0.3;0;0;F
Ed Davis;78;18.9;5.3;58.2;0.0;0.0;66.7;7.4;0.5;0.8;0.4;0.7;6;0;F
Corey Brewer;72;16.8;5.3;44.9;0.4;28.2;72.2;2.1;0.9;0.7;1.1;0.2;0;0;F
Daniel Theis;63;14.9;5.3;54.1;0.3;31.0;75.3;4.3;0.9;0.9;0.5;0.8;2;0;F
DeAndre' Bembry;26;17.5;5.2;41.4;0.4;36.7;57.6;2.8;1.9;1.8;0.8;0.5;0;0;F
Luke Babbitt;50;14.3;5.2;42.3;1.2;38.5;77.3;1.9;0.6;0.4;0.2;0.1;0;0;F
Rodney McGruder;18;16.6;5.1;49.3;0.8;42.9;50.0;1.8;0.9;0.2;0.4;0.2;0;0;F
Channing Frye;53;13.1;5.0;49.1;0.7;33.9;89.5;2.5;0.7;0.4;0.3;0.2;0;0;F
Shabazz Muhammad;43;9.7;5.0;44.7;0.2;25.9;78.0;1.8;0.3;0.1;0.2;0.1;0;0;F
Royce O'Neale;69;16.7;5.0;42.3;0.6;35.6;80.3;3.4;1.4;0.8;0.5;0.2;1;0;F
Brandan Wright;28;13.6;5.0;57.8;0.0;0.0;63.6;3.4;0.5;0.3;0.5;0.9;0;0;F
Noah Vonleh;54;16.2;4.9;44.4;0.4;30.3;62.1;5.8;0.6;0.6;0.4;0.3;3;0;F
Cheick Diallo;52;11.2;4.9;58.0;0.0;0.0;75.8;4.1;0.4;0.5;0.2;0.4;3;0;F
Thon Maker;74;16.7;4.8;41.1;0.4;29.8;69.9;3.0;0.6;0.6;0.5;0.7;0;0;F
Johnny O'Bryant III;36;10.5;4.8;39.8;0.4;32.6;84.0;2.6;0.4;0.4;0.3;0.2;0;0;F
Tyler Cavanaugh;39;13.3;4.7;44.1;0.8;36.0;81.0;3.3;0.7;0.3;0.2;0.1;0;0;F
JaKarr Sampson;22;15.6;4.7;54.3;0.2;50.0;62.5;3.5;0.4;0.4;0.4;1.0;0;0;F
Tony Allen;22;12.4;4.7;48.4;0.2;33.3;52.4;2.1;0.4;0.9;0.5;0.1;0;0;F
Jalen Jones;16;11.3;4.6;38.2;0.6;38.5;63.2;2.4;0.3;0.4;0.3;0.1;0;0;F
Amir Johnson;74;15.8;4.6;53.8;0.1;31.3;61.2;4.5;1.6;0.7;0.6;0.6;1;0;F
Andrew White III;15;13.9;4.6;34.2;1.2;36.7;25.0;2.3;0.4;0.5;0.2;0.1;0;0;F
Jordan Bell;57;14.2;4.6;62.7;0.0;0.0;68.2;3.6;1.8;0.9;0.6;1.0;1;0;F
Isaiah Hicks;18;13.3;4.4;45.8;0.1;22.2;66.7;2.3;0.9;0.9;0.1;0.2;0;0;F
Zach Collins;66;15.8;4.4;39.8;0.5;31.0;64.3;3.3;0.8;0.9;0.3;0.5;0;0;F
Travis Wear;17;13.4;4.4;34.7;1.0;36.2;100;2.2;0.4;0.4;0.2;0.3;0;0;F
Treveon Graham;63;16.7;4.3;43.4;0.6;41.2;69.5;1.9;0.9;0.4;0.5;0.0;0;0;F
Miles Plumlee;55;16.7;4.3;58.3;0.0;0.0;45.0;4.1;0.8;1.1;0.3;0.5;1;0;F
Adreian Payne;5;8.5;4.2;70.0;0.4;66.7;83.3;1.8;0.0;0.4;0.4;0.0;0;0;F
Torrey Craig;39;16.1;4.2;45.3;0.4;29.3;62.9;3.3;0.6;0.5;0.3;0.4;0;0;F
Sam Dekker;73;12.1;4.2;49.4;0.1;16.7;66.1;2.4;0.5;0.5;0.3;0.1;0;0;F
Glenn Robinson III;23;14.7;4.1;42.4;0.6;41.2;81.8;1.6;0.7;0.2;0.6;0.0;0;0;F
Alec Peters;20;11.2;4.1;37.8;0.9;31.0;80.0;1.9;0.6;0.2;0.1;0.1;0;0;F
Lance Thomas;73;18.5;4.1;38.2;0.7;40.3;83.0;2.4;0.6;0.6;0.4;0.2;0;0;F
Kevon Looney;66;13.8;4.0;58.0;0.0;20.0;54.5;3.3;0.6;0.5;0.5;0.8;0;0;F
Jordan Mickey;23;12.4;4.0;47.6;0.1;12.5;68.4;3.5;0.4;0.8;0.3;0.4;0;0;F
Paul Zipser;54;15.3;4.0;34.6;0.7;33.6;76.0;2.4;0.9;0.8;0.4;0.3;0;0;F
Alan Williams;5;14.1;4.0;38.9;0.0;0.0;66.7;4.4;1.6;1.4;1.0;0.2;0;0;F
Henry Ellenson;38;8.7;4.0;36.3;0.5;33.3;86.2;2.1;0.5;0.5;0.1;0.0;1;0;F
Cedi Osman;61;11.0;3.9;48.4;0.5;36.8;56.5;2.0;0.7;0.5;0.4;0.0;0;0;F
Patrick Patterson;82;15.5;3.9;39.8;0.8;38.6;87.0;2.4;0.7;0.4;0.6;0.3;0;0;F
Ante Zizic;32;6.7;3.7;73.1;0.0;0.0;72.4;1.9;0.2;0.3;0.1;0.4;0;0;F
Wes Iwundu;62;16.5;3.7;42.7;0.1;19.6;72.3;2.2;0.9;0.5;0.5;0.2;0;0;F
Tarik Black;51;10.5;3.5;59.1;0.0;9.1;46.0;3.2;0.3;0.7;0.4;0.6;2;0;F
Jason Smith;33;8.6;3.4;39.1;0.1;12.5;90.5;1.6;0.4;0.5;0.1;0.4;0;0;F
Okaro White;6;13.3;3.3;43.8;0.7;36.4;66.7;1.8;0.3;0.2;0.2;0.2;0;0;F
Dwayne Bacon;53;13.5;3.3;37.5;0.2;25.6;80.0;2.3;0.7;0.4;0.3;0.0;0;0;F
Juancho Hernangomez;25;11.1;3.3;38.7;0.6;28.0;83.3;2.2;0.5;0.4;0.2;0.1;0;0;F
Jared Dudley;48;14.3;3.2;39.3;0.6;36.3;77.1;2.0;1.6;0.6;0.5;0.2;0;0;F
Derrick Jones Jr.;20;12.3;3.1;39.6;0.2;16.7;66.7;1.9;0.5;0.4;0.2;0.7;0;0;F
Abdel Nader;48;10.9;3.0;33.6;0.5;35.4;59.0;1.5;0.5;0.7;0.3;0.2;0;0;F
Anthony Brown;1;3.7;3.0;100;1.0;100;0.0;0.0;1.0;0.0;0.0;0.0;0;0;F
Nigel Hayes;9;13.6;3.0;33.3;0.4;25.0;33.3;2.4;0.7;0.2;0.2;0.3;0;0;F
TJ Leaf;53;8.7;2.9;47.1;0.3;42.9;62.5;1.5;0.2;0.2;0.1;0.1;0;0;F
Darrell Arthur;19;7.4;2.8;46.8;0.4;34.8;66.7;0.8;0.5;0.8;0.4;0.2;0;0;F
James Young;6;10.2;2.8;35.7;0.5;30.0;66.7;0.3;0.3;0.2;0.0;0.0;0;0;F
Semi Ojeleye;73;15.8;2.7;34.6;0.5;32.0;61.0;2.2;0.3;0.3;0.3;0.1;0;0;F
James Michael McAdoo;3;6.0;2.7;28.6;0.7;28.6;100;0.7;0.0;0.3;0.0;0.3;0;0;F
Ekpe Udoh;63;12.9;2.6;50.0;0.0;0.0;75.0;2.4;0.8;0.3;0.7;1.2;0;0;F
Malcolm Miller;15;8.4;2.5;46.4;0.5;38.1;100;1.0;0.2;0.3;0.1;0.1;0;0;F
Chris McCullough;19;4.7;2.4;42.9;0.1;12.5;64.3;1.3;0.2;0.1;0.0;0.3;0;0;F
Solomon Hill;12;15.6;2.4;26.8;0.3;19.0;50.0;3.0;1.8;0.8;0.6;0.1;0;0;F
Guerschon Yabusele;33;7.1;2.4;42.6;0.4;32.4;68.2;1.6;0.5;0.4;0.1;0.2;0;0;F
Brice Johnson;18;5.4;2.4;47.6;0.0;0.0;60.0;1.7;0.1;0.3;0.5;0.3;0;0;F
Caleb Swanigan;27;7.0;2.3;40.0;0.0;12.5;66.7;2.0;0.5;0.7;0.2;0.1;0;0;F
John Holland;24;7.3;2.3;28.8;0.5;30.6;69.2;1.0;0.2;0.3;0.3;0.1;0;0;F
Bruno Caboclo;12;8.9;2.2;29.0;0.3;17.6;83.3;1.8;0.3;0.3;0.3;0.3;0;0;F
Eric Moreland;67;12.0;2.1;54.1;0.0;0.0;37.9;4.1;1.2;0.6;0.5;0.8;2;0;F
Nick Collison;15;5.0;2.1;68.4;0.0;0.0;38.5;1.3;0.3;0.5;0.0;0.0;0;0;F
Daniel Hamilton;6;4.6;2.0;45.5;0.3;40.0;0.0;0.8;1.3;0.3;0.2;0.0;0;0;F
Devin Robinson;1;13.2;2.0;33.3;0.0;0.0;0.0;5.0;0.0;0.0;1.0;0.0;0;0;F
Gordon Hayward;1;5.3;2.0;50.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;F
Jeremy Evans;1;5.4;2.0;100;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0;0;F
Luol Deng;1;13.1;2.0;50.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0;0;F
Mangok Mathiang;4;5.0;2.0;57.1;0.0;0.0;0.0;2.5;0.0;0.0;0.3;0.0;0;0;F
Kyle Singler;12;4.9;1.9;33.3;0.2;40.0;53.8;0.8;0.2;0.3;0.1;0.0;0;0;F
Damien Wilkins;19;8.0;1.7;33.3;0.2;22.2;75.0;0.8;0.5;0.3;0.1;0.1;0;0;F
Furkan Korkmaz;14;5.7;1.6;28.6;0.4;29.4;50.0;0.8;0.3;0.1;0.1;0.1;0;0;F
James Webb III;10;12.0;1.6;25.0;0.4;21.1;0.0;2.4;0.4;0.4;0.1;0.0;0;0;F
Alfonzo McKinnie;14;3.8;1.5;53.3;0.2;33.3;66.7;0.5;0.1;0.2;0.1;0.1;0;0;F
Joel Bolomboy;6;6.3;1.5;50.0;0.0;0.0;50.0;1.7;0.0;0.3;0.3;0.0;0;0;F
Richard Jefferson;20;8.2;1.5;44.4;0.1;28.6;57.1;0.9;0.8;0.3;0.1;0.1;0;0;F
Vincent Hunter;4;1.9;1.5;60.0;0.0;0.0;0.0;0.8;0.0;0.3;0.0;0.3;0;0;F
Zhou Qi;18;6.9;1.2;18.8;0.1;10.5;66.7;1.2;0.1;0.6;0.1;0.8;0;0;F
Ike Anigbogu;11;2.7;1.2;44.4;0.0;0.0;83.3;0.8;0.0;0.2;0.1;0.3;0;0;F
Alex Poythress;25;4.2;1.0;42.3;0.2;36.4;0.0;0.7;0.1;0.1;0.1;0.0;0;0;F
Derrick Williams;2;4.3;1.0;25.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0;0;F
Georges Niang;9;3.5;1.0;36.4;0.0;0.0;50.0;1.0;0.3;0.3;0.2;0.0;0;0;F
Matt Costello;4;8.1;1.0;50.0;0.0;0.0;0.0;2.3;0.5;0.3;0.5;0.5;0;0;F
Jake Layman;35;4.6;1.0;29.8;0.1;20.0;66.7;0.5;0.3;0.1;0.2;0.1;0;0;F
D.J. Wilson;22;3.2;1.0;56.3;0.1;40.0;50.0;0.5;0.1;0.2;0.1;0.0;0;0;F
Jacob Wiley;5;6.7;0.8;25.0;0.2;50.0;50.0;2.2;0.4;0.0;0.2;0.0;0;0;F
Josh Smith;3;3.9;0.7;25.0;0.0;0.0;0.0;1.3;0.0;0.0;0.0;0.0;0;0;F
Udonis Haslem;14;5.1;0.6;20.0;0.1;12.5;50.0;0.7;0.4;0.1;0.0;0.1;0;0;F
Ben Moore;2;4.6;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0;0;F
Chris Boucher;1;1.3;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;F
Erik McCree;4;1.9;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.3;0.3;0.0;0;0;F
Jarell Eddie;3;2.9;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.3;0.0;0;0;F
Josh McRoberts;2;2.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;F
Mindaugas Kuzminskas;1;1.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;F
Nicolas Brussino;4;2.5;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0;0;F
Tyler Lydon;1;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;F
Anthony Davis;75;36.4;28.1;53.4;0.7;34.0;82.8;11.1;2.3;2.2;1.5;2.6;50;1;C
DeMarcus Cousins;48;36.2;25.2;47.0;2.2;35.4;74.6;12.9;5.4;5.0;1.6;1.6;38;3;C
Joel Embiid;63;30.4;22.9;48.3;1.0;30.8;76.9;11.0;3.2;3.7;0.6;1.8;38;0;C
Kristaps Porzingis;48;32.4;22.7;43.9;1.9;39.5;79.3;6.6;1.2;1.9;0.8;2.4;5;0;C
Karl-Anthony Towns;82;35.6;21.3;54.5;1.5;42.1;85.8;12.3;2.4;1.9;0.8;1.4;68;0;C
Nikola Jokic;75;32.6;18.5;49.9;1.5;39.6;85.0;10.7;6.1;2.8;1.2;0.8;38;10;C
Kevin Love;59;28.0;17.6;45.8;2.3;41.5;88.0;9.3;1.7;1.5;0.7;0.4;31;0;C
Marc Gasol;73;33.0;17.2;42.0;1.5;34.1;83.4;8.1;4.2;2.7;0.7;1.4;25;1;C
Dwight Howard;81;30.4;16.6;55.5;0.0;14.3;57.4;12.5;1.3;2.6;0.6;1.6;53;0;C
Nikola Vucevic;57;29.5;16.5;47.5;1.1;31.4;81.9;9.2;3.4;1.9;1.0;1.1;29;1;C
Julius Randle;82;26.7;16.1;55.8;0.1;22.2;71.8;8.0;2.6;2.6;0.5;0.5;28;1;C
Andre Drummond;78;33.7;15.0;52.9;0.0;0.0;60.5;16.0;3.0;2.6;1.5;1.6;62;0;C
Jusuf Nurkic;79;26.4;14.3;50.5;0.0;0.0;63.0;9.0;1.8;2.3;0.8;1.4;27;0;C
Enes Kanter;71;25.8;14.1;59.2;0.0;0.0;84.8;11.0;1.5;1.7;0.5;0.5;39;0;C
Hassan Whiteside;54;25.3;14.0;54.0;0.0;100;70.3;11.4;1.0;1.7;0.7;1.7;28;0;C
Steven Adams;76;32.7;13.9;62.9;0.0;0.0;55.9;9.0;1.2;1.7;1.2;1.0;28;0;C
Clint Capela;74;27.5;13.9;65.2;0.0;0.0;56.0;10.8;0.9;1.4;0.8;1.9;42;0;C
Rudy Gobert;56;32.4;13.5;62.2;0.0;0.0;68.2;10.7;1.4;1.9;0.8;2.3;31;0;C
Brook Lopez;74;23.4;13.0;46.5;1.5;34.5;70.3;4.0;1.7;1.3;0.4;1.3;4;0;C
Al Horford;72;31.6;12.9;48.9;1.3;42.9;78.3;7.4;4.7;1.8;0.6;1.1;15;0;C
Willie Cauley-Stein;73;28.0;12.8;50.2;0.0;25.0;61.9;7.0;2.4;1.5;1.1;0.9;12;0;C
Myles Turner;65;28.2;12.7;47.9;0.9;35.7;77.7;6.4;1.3;1.5;0.6;1.8;11;0;C
Jonas Valanciunas;77;22.4;12.7;56.8;0.4;40.5;80.6;8.6;1.1;1.5;0.4;0.9;26;0;C
Serge Ibaka;76;27.5;12.6;48.3;1.4;36.0;79.7;6.3;0.8;1.2;0.4;1.3;8;0;C
Derrick Favors;77;28.0;12.3;56.3;0.2;22.2;65.1;7.2;1.3;1.1;0.7;1.1;15;0;C
DeAndre Jordan;77;31.5;12.0;64.5;0.0;0.0;58.0;15.2;1.5;1.8;0.5;0.9;46;0;C
Dirk Nowitzki;77;24.7;12.0;45.6;1.8;40.9;89.8;5.7;1.6;0.7;0.6;0.6;5;0;C
Robin Lopez;64;26.4;11.8;53.0;0.1;28.6;75.6;4.5;1.9;1.7;0.2;0.8;3;0;C
Domantas Sabonis;74;24.5;11.6;51.4;0.2;35.1;75.0;7.7;2.0;1.9;0.5;0.4;15;0;C
Kelly Olynyk;76;23.4;11.5;49.7;1.4;37.9;77.0;5.7;2.7;1.9;0.8;0.5;7;0;C
Frank Kaminsky;79;23.2;11.1;42.9;1.3;38.0;79.9;3.6;1.6;0.8;0.5;0.2;0;0;C
Montrezl Harrell;76;17.0;11.0;63.5;0.0;14.3;62.6;4.0;1.0;0.9;0.5;0.7;0;0;C
John Collins;74;24.1;10.5;57.6;0.2;34.0;71.5;7.3;1.3;1.4;0.6;1.1;11;0;C
Greg Monroe;51;20.4;10.3;56.5;0.0;0.0;73.9;6.9;2.2;1.8;0.9;0.5;9;1;C
Pau Gasol;77;23.5;10.1;45.8;0.6;35.8;75.6;8.0;3.1;1.4;0.3;1.0;16;1;C
Dewayne Dedmon;62;24.9;10.0;52.4;0.8;35.5;77.9;7.9;1.5;1.4;0.6;0.8;15;0;C
John Henson;76;25.9;8.8;57.2;0.0;14.3;57.0;6.8;1.5;1.1;0.6;1.4;10;0;C
Skal Labissiere;60;20.7;8.7;44.8;0.3;35.3;80.5;4.8;1.2;1.2;0.4;0.8;3;0;C
Alex Len;69;20.2;8.5;56.6;0.0;33.3;68.4;7.5;1.2;1.1;0.4;0.9;12;0;C
Dwight Powell;79;21.2;8.5;59.3;0.4;33.3;71.9;5.6;1.2;0.7;0.8;0.4;5;0;C
Marcin Gortat;82;25.3;8.4;51.8;0.0;0.0;67.5;7.6;1.8;1.2;0.5;0.7;15;0;C
Jarrett Allen;72;20.0;8.2;58.9;0.1;33.3;77.6;5.4;0.7;1.1;0.4;1.2;4;0;C
Marreese Speights;52;13.0;7.7;39.5;1.7;36.9;72.7;2.6;0.8;0.8;0.2;0.4;1;0;C
Mike Muscala;53;20.0;7.6;45.8;1.2;37.1;91.9;4.3;1.0;0.8;0.6;0.5;2;0;C
Kyle O'Quinn;77;18.0;7.1;58.3;0.1;23.5;77.2;6.1;2.1;1.3;0.5;1.3;8;0;C
Mason Plumlee;74;19.5;7.1;60.1;0.0;0.0;45.8;5.4;1.9;1.4;0.7;1.1;3;0;C
Cody Zeller;33;19.0;7.1;54.5;0.1;66.7;71.8;5.4;0.9;1.0;0.4;0.6;1;0;C
Al Jefferson;36;13.4;7.0;53.4;0.0;0.0;83.3;4.0;0.8;0.6;0.4;0.6;1;0;C
Jakob Poeltl;82;18.6;6.9;65.9;0.0;50.0;59.4;4.8;0.7;1.0;0.5;1.2;4;0;C
Bam Adebayo;69;19.8;6.9;51.2;0.0;0.0;72.1;5.5;1.5;1.0;0.5;0.6;7;0;C
Kosta Koufos;71;19.6;6.7;57.1;0.0;0.0;44.6;6.6;1.2;0.7;0.7;0.5;6;0;C
Luke Kornet;20;16.3;6.7;39.2;1.4;35.4;72.7;3.2;1.3;0.6;0.3;0.8;1;0;C
Tyler Zeller;66;16.8;6.7;56.0;0.2;35.7;72.2;4.6;0.7;0.7;0.2;0.5;0;0;C
Nene;52;14.6;6.5;56.9;0.0;0.0;63.6;3.4;0.9;0.7;0.5;0.3;0;0;C
Tyson Chandler;46;25.0;6.5;64.7;0.0;0.0;62.4;9.1;1.2;1.3;0.3;0.6;4;0;C
Richaun Holmes;48;15.5;6.5;56.0;0.1;12.9;66.1;4.4;1.3;0.5;0.4;0.6;1;0;C
Jahlil Okafor;28;12.6;6.3;55.8;0.0;25.0;72.4;3.0;0.4;0.8;0.1;0.6;0;0;C
Boban Marjanovic;39;8.7;6.0;53.4;0.0;0.0;79.4;3.7;0.6;0.9;0.3;0.3;1;0;C
Aron Baynes;81;18.3;6.0;47.1;0.0;14.3;75.6;5.4;1.1;1.0;0.3;0.6;4;0;C
Gorgui Dieng;79;16.9;5.9;47.9;0.2;31.1;77.5;4.6;0.9;0.7;0.6;0.5;2;0;C
Davis Bertans;77;14.1;5.9;44.0;1.2;37.3;81.6;2.0;1.0;0.5;0.3;0.4;0;0;C
Deyonta Davis;62;15.2;5.8;60.8;0.0;0.0;66.7;4.0;0.6;0.5;0.2;0.6;1;0;C
Tristan Thompson;53;20.2;5.8;56.2;0.0;0.0;54.4;6.6;0.6;0.7;0.3;0.3;3;0;C
Jack Cooley;7;12.5;5.7;48.1;0.0;0.0;73.7;4.3;0.9;0.4;0.1;0.0;0;0;C
Bismack Biyombo;82;18.2;5.7;52.0;0.0;0.0;65.0;5.7;0.8;1.0;0.3;1.2;7;0;C
Cristiano Felicio;55;17.8;5.6;59.1;0.0;0.0;66.7;4.2;1.0;1.0;0.3;0.2;3;0;C
Zaza Pachulia;69;14.1;5.4;56.4;0.0;0.0;80.6;4.7;1.6;1.0;0.6;0.2;2;0;C
Jon Leuer;8;17.1;5.4;41.7;0.0;0.0;86.7;4.0;0.6;0.9;0.1;0.4;0;0;C
Ed Davis;78;18.9;5.3;58.2;0.0;0.0;66.7;7.4;0.5;0.8;0.4;0.7;6;0;C
Daniel Theis;63;14.9;5.3;54.1;0.3;31.0;75.3;4.3;0.9;0.9;0.5;0.8;2;0;C
Willy Hernangomez;48;10.3;5.1;55.5;0.1;41.7;65.6;3.8;0.7;0.7;0.4;0.3;4;0;C
Brandan Wright;28;13.6;5.0;57.8;0.0;0.0;63.6;3.4;0.5;0.3;0.5;0.9;0;0;C
Thon Maker;74;16.7;4.8;41.1;0.4;29.8;69.9;3.0;0.6;0.6;0.5;0.7;0;0;C
JaVale McGee;65;9.5;4.8;62.1;0.0;0.0;73.1;2.6;0.5;0.4;0.3;0.9;0;0;C
Ian Mahinmi;77;14.9;4.8;55.6;0.0;0.0;70.3;4.1;0.7;1.3;0.5;0.5;1;0;C
Willie Reed;42;10.2;4.6;66.9;0.0;50.0;58.2;2.9;0.2;0.5;0.2;0.5;1;0;C
Amir Johnson;74;15.8;4.6;53.8;0.1;31.3;61.2;4.5;1.6;0.7;0.6;0.6;1;0;C
Jordan Bell;57;14.2;4.6;62.7;0.0;0.0;68.2;3.6;1.8;0.9;0.6;1.0;1;0;C
Zach Collins;66;15.8;4.4;39.8;0.5;31.0;64.3;3.3;0.8;0.9;0.3;0.5;0;0;C
Emeka Okafor;26;13.6;4.4;50.5;0.0;0.0;81.8;4.6;0.3;0.5;0.3;1.0;0;0;C
Nerlens Noel;30;15.7;4.4;52.4;0.0;0.0;75.0;5.6;0.7;0.9;1.0;0.7;2;0;C
Miles Plumlee;55;16.7;4.3;58.3;0.0;0.0;45.0;4.1;0.8;1.1;0.3;0.5;1;0;C
Khem Birch;42;13.8;4.2;54.0;0.0;0.0;68.9;4.3;0.8;0.5;0.4;0.5;3;0;C
Timofey Mozgov;31;11.6;4.2;55.9;0.1;22.2;76.7;3.2;0.4;1.1;0.2;0.4;0;0;C
Joffrey Lauvergne;55;9.7;4.1;51.6;0.0;0.0;63.8;3.1;0.7;0.6;0.2;0.1;1;0;C
Jordan Mickey;23;12.4;4.0;47.6;0.1;12.5;68.4;3.5;0.4;0.8;0.3;0.4;0;0;C
Alan Williams;5;14.1;4.0;38.9;0.0;0.0;66.7;4.4;1.6;1.4;1.0;0.2;0;0;C
Chinanu Onuaku;1;21.6;4.0;40.0;0.0;0.0;0.0;4.0;1.0;3.0;0.0;0.0;0;0;C
