PLAYER;GP;MIN;PTS;FG%;3PM;3P%;FT%;REB;AST;TOV;STL;BLK;DD2;TD3;POSITION
Briante Weber;18;13.1;2.8;44.2;0.2;36.4;80.0;1.9;1.2;0.8;1.0;0.3;0;0;G
Josh Magette;18;12.0;2.6;32.6;0.4;36.4;100;1.1;3.2;0.5;0.4;0.1;0;0;G
Bobby Brown;20;5.7;2.5;32.8;0.6;27.5;50.0;0.4;0.6;0.5;0.2;0.0;0;0;G
Ron Baker;29;13.3;2.4;33.9;0.4;33.3;76.9;1.0;1.6;0.6;0.9;0.2;0;0;G
Marcus Paige;5;5.6;2.4;28.6;0.4;25.0;100;0.8;0.6;0.0;0.0;0.0;0;0;G
Aaron Brooks;32;5.9;2.3;40.6;0.3;35.5;72.7;0.5;0.6;0.3;0.2;0.0;0;0;G
Josh Huestis;69;14.2;2.3;33.0;0.5;28.7;30.0;2.3;0.3;0.4;0.2;0.6;0;0;G
Brandon Paul;64;9.0;2.3;43.3;0.2;27.8;51.2;1.1;0.6;0.5;0.4;0.1;0;0;G
Lorenzo Brown;14;9.9;2.3;41.2;0.1;16.7;100;1.1;0.9;0.2;0.4;0.0;0;0;G
Rashad Vaughn;28;7.6;2.3;41.1;0.5;37.8;66.7;0.8;0.5;0.2;0.2;0.1;0;0;G
John Holland;24;7.3;2.3;28.8;0.5;30.6;69.2;1.0;0.2;0.3;0.3;0.1;0;0;G
Daniel Hamilton;6;4.6;2.0;45.5;0.3;40.0;0.0;0.8;1.3;0.3;0.2;0.0;0;0;G
Edmond Sumner;1;2.2;2.0;100;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0;G
Ryan Arcidiacono;24;12.7;2.0;41.5;0.4;29.0;83.3;1.0;1.5;0.5;0.5;0.0;0;0;G
Quincy Pondexter;23;8.5;2.0;28.6;0.1;13.6;82.4;1.2;0.4;0.5;0.3;0.1;0;0;G
Derrick Walton Jr.;16;9.2;1.8;32.0;0.4;41.2;100;1.0;1.0;0.1;0.4;0.2;0;0;G
DeAndre Liggins;58;12.5;1.7;37.7;0.3;35.8;40.0;1.3;0.8;0.3;0.6;0.2;0;0;G
Damien Wilkins;19;8.0;1.7;33.3;0.2;22.2;75.0;0.8;0.5;0.3;0.1;0.1;0;0;G
Larry Drew II;10;7.0;1.7;29.2;0.3;33.3;0.0;0.3;1.0;0.3;0.0;0.0;0;0;G
Matt Williams Jr.;3;3.8;1.7;33.3;0.3;20.0;0.0;0.3;0.0;0.3;0.0;0.0;0;0;G
Furkan Korkmaz;14;5.7;1.6;28.6;0.4;29.4;50.0;0.8;0.3;0.1;0.1;0.1;0;0;G
Marcus Georges-Hunt;42;5.3;1.4;43.8;0.1;26.7;61.9;0.4;0.2;0.1;0.1;0.0;0;0;G
Antonius Cleveland;17;7.2;1.4;38.1;0.2;75.0;66.7;0.8;0.1;0.4;0.4;0.3;0;0;G
